collection_name,dataset_id,dataset_title,tissue,disease,tissue_general,organism
Tabula Sapiens,5e5e7a2f-8f1c-42ac-90dc-b4f80f38e84c,Tabula Sapiens - Fat,adipose tissue,normal,adipose tissue,Homo sapiens
Human Brain Cell Atlas v1.0,27d91086-cfe3-4e33-9282-bd1246e5ce8e,Dissection: Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,cerebral cortex,normal,brain,Homo sapiens
Spatial and cell type transcriptional landscape of human cerebellar development,b2dda353-0c96-42df-8dcd-1ea7429a6feb,Cerebellum,cerebellum,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,7db0c178-b0a4-442f-ba54-e9e1633a84bb,Dissection: Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,cerebral cortex,normal,brain,Homo sapiens
Tabula Muris Senis,0bd1a1de-3aee-40e0-b2ec-86c7a30c7149,Bone marrow - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,bone marrow,normal,bone marrow,Mus musculus
Tabula Sapiens,e5c63d94-593c-4338-a489-e1048599e751,Tabula Sapiens - Bladder,bladder organ,normal,bladder organ,Homo sapiens
Tabula Sapiens,f01bdd17-4902-40f5-86e3-240d66dd2587,Tabula Sapiens - Salivary_Gland,parotid gland;sublingual gland,normal,exocrine gland,Homo sapiens
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,518d9049-2a76-44f8-8abc-1e2b59ab5ba1,colon immune,lamina propria of mucosa of colon;colonic epithelium;colon;sigmoid colon;right colon;transverse colon;left colon;caecum;caecum epithelium,Crohn disease;normal,colon,Homo sapiens
A molecular cell atlas of the human lung from single cell RNA sequencing,8c42cfd0-0b0a-46d5-910c-fc833d83c45e,"Krasnow Lab Human Lung Cell Atlas, 10X",lung;blood,normal,lung;blood,Homo sapiens
iPain atlas,5d6d404a-86f9-419e-9928-56276904819c,iPain Atlas TG All Cells - RNA,trigeminal ganglion,peripheral neuropathy;normal,nervous system,Mus musculus
Blood and immune development in human fetal bone marrow and Down syndrome,471647b3-04fe-4c76-8372-3264feb950e8,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",bone marrow;umbilical cord blood;liver,normal,bone marrow;blood;liver,Homo sapiens
"Transcriptome Analysis of Archived Tumor Tissues by Visium, GeoMx DSP, and Chromium Methods Reveals Inter- and Intra-Patient Heterogeneity",a77176ec-96c8-4448-a3e7-b56940bdfab6,Diffuse large B cell lymphoma (DLBCL) 6 patients archival FFPE samples profiling with Chromium FLEX,external iliac lymph node;arm skin;cervical lymph node;duodenum;bronchus;stomach,"diffuse large B-cell lymphoma;primary cutaneous diffuse large B-cell lymphoma, Leg type",lymph node;skin of body;small intestine;respiratory system;stomach,Homo sapiens
HTAN MSK - Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies,d41f45c1-1b7b-4573-a998-ac5c5acb1647,Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies,lower lobe of left lung;lower lobe of right lung;upper lobe of right lung;right lung;upper lobe of left lung;left lung;middle lobe of right lung,lung adenocarcinoma,lung,Homo sapiens
HCA kidney seed network: University of Michigan,0b4a15a7-4e9e-4555-9733-2423e5c66469,Single cell RNA-seq data from normal adult kidney tissue,cortex of kidney,normal,kidney,Homo sapiens
A molecular atlas of the human postmenopausal fallopian tube and ovary from single-cell RNA and ATAC sequencing,90d4a63b-5c02-43eb-acde-c49345681601,Fallopian tube RNA,ampulla of fallopian tube;fimbria of fallopian tube;isthmus of fallopian tube,normal,fallopian tube,Homo sapiens
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,5ce42b38-d867-487f-9b40-e8bb00b21d0b,colon epithelial,lamina propria of mucosa of colon;colonic epithelium;colon;sigmoid colon;right colon;transverse colon;left colon;caecum;caecum epithelium,Crohn disease;normal,colon,Homo sapiens
Dysregulation of brain and choroid plexus cell types in severe COVID-19,2f05ab20-a092-4bab-9276-3e0eb24e3fee,"A total of 38,217 droplet-based single-nucleus transcriptomes profiled across 14 cell types in the frontal cortex",medial orbital frontal cortex,cardiomyopathy;breast cancer;chronic obstructive pulmonary disease;small cell lung carcinoma;COVID-19;influenza;heart disorder;tongue cancer;myocardial infarction,brain,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,a20e2f2a-e171-450a-8ddc-8935c2977ad6,Bone_marrow,bone marrow,normal,bone marrow,Homo sapiens
Single cell atlas of the human retina,459dc9de-9ab8-4e4d-ac44-182595b1c18b,scRNA-seq of human retina - bipolar cell subclass,macula lutea proper;peripheral region of retina;fovea centralis;chorioretinal region;retinal neural layer,normal,eye,Homo sapiens
Mapping the developing human immune system across organs,6a30bf44-c490-41ac-965b-0bb58432b10a,HSC/progenitor cells,skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
Tabula Sapiens,1c9eb291-6d31-47e1-96b2-129b5e1ae64f,Tabula Sapiens - Muscle,muscle of pelvic diaphragm,normal,musculature,Homo sapiens
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,76347874-8801-44bf-9aea-0da21c78c430,SCLC immune cells,lung;pleural effusion;liver;lymph node;adrenal gland;axilla,small cell lung carcinoma,lung;pleural fluid;liver;lymph node;adrenal gland;axilla,Homo sapiens
Comprehensive cell atlas of the first-trimester developing human brain,9f984b44-9c72-4aa3-b8c5-65823071c3d6,Medulla,medulla oblongata,normal,brain,Homo sapiens
A comprehensive mouse kidney atlas enables rare cell population characterization and robust marker discovery,42bb7f78-cef8-4b0d-9bba-50037d64d8c1,Healthy mouse kidney atlas,kidney;cortex of kidney;renal glomerulus;renal medulla;outer medulla of kidney;inner medulla of kidney,normal,kidney,Mus musculus
An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,50d79de5-bd17-4d14-a295-199d71ff56be,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types: 10X_nuclei_v3_AIBS,primary motor cortex,normal,brain,Mus musculus
Tabula Sapiens,cee11228-9f0b-4e57-afe2-cfe15ee56312,Tabula Sapiens - Spleen,spleen,normal,spleen,Homo sapiens
Tabula Sapiens,0ced5e76-6040-47ff-8a72-93847965afc0,Tabula Sapiens - Thymus,thymus,normal,endocrine gland,Homo sapiens
Cross-tissue immune cell analysis reveals tissue-specific features in humans,fe52003e-1460-4a65-a213-2bb1a508332f,Myeloid compartment,ileum;lung;thoracic lymph node;mesenteric lymph node;bone marrow;skeletal muscle tissue;liver;spleen;omentum;caecum;thymus;duodenum;blood;transverse colon;sigmoid colon;lamina propria;jejunal epithelium,normal,small intestine;lung;lymph node;bone marrow;musculature;liver;spleen;omentum;colon;endocrine gland;blood;lamina propria,Homo sapiens
Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy,965386e9-1e4f-466d-bf59-ebdca4b66b9b,Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy,bone marrow,B-cell non-Hodgkin lymphoma;normal,bone marrow,Homo sapiens
"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",ddb22b3d-a75c-4dd1-9730-dff7fc8ca530,Healthy human liver: integrated,caudate lobe of liver,normal,liver,Homo sapiens
Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Full Dataset,white matter of temporal lobe;white matter of occipital lobe;white matter of parietal lobe;prefrontal cortex;white matter of frontal lobe,"leukoencephalopathy, diffuse hereditary, with spheroids 1;normal;Alzheimer disease",brain,Homo sapiens
Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,d967b47c-a9e6-4337-b2f4-977f690cb67f,Trabecular Meshwork and Corneal Scleral wedge,corneo-scleral junction;eye trabecular meshwork,normal,eye,Homo sapiens
An Integrated Single Cell Atlas of Human Periodontitis,9fcb0b73-c734-40a5-be9c-ace7eea401c9,An Integrated Single Cell Meta-atlas of Human Periodontitis,gingiva,normal;periodontitis;gingivitis,mucosa,Homo sapiens
Tabula Sapiens,5a11f879-d1ef-458a-910c-9b0bdfca5ebf,Tabula Sapiens - Endothelial,liver;trachea;inguinal lymph node;lymph node;parotid gland;spleen;posterior part of tongue;mammary gland;endometrium;myometrium;eye;adipose tissue;subcutaneous adipose tissue;skin of body;cardiac atrium;cardiac ventricle;exocrine pancreas;prostate gland;skin of abdomen;skin of chest;lacrimal gland;uterus;muscle of pelvic diaphragm;rectus abdominis muscle;anterior part of tongue;sublingual gland;thymus;cornea;sclera;bladder organ;large intestine;lung;small intestine;muscle of abdomen;vasculature;coronary artery;kidney;muscle tissue;endocrine pancreas;aorta,normal,liver;respiratory system;lymph node;exocrine gland;spleen;tongue;uterus;eye;adipose tissue;skin of body;heart;pancreas;prostate gland;musculature;endocrine gland;bladder organ;large intestine;lung;small intestine;vasculature;kidney,Homo sapiens
A single-cell atlas of the aging mouse ovary,b8342509-75c7-463a-9829-f39eba78f366,Aging mouse ovary,ovary,normal,ovary,Mus musculus
Sampling peripheral blood and matched nasal swabs from donors with prior immunodeficiencies and autoimmune conditions infected with SARS-CoV-2,c2a461b1-0c15-4047-9fcb-1f966fe55100,Autoimmunity PBMCs,blood,COVID-19,blood,Homo sapiens
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,5e717147-0f75-4de1-8bd2-6fda01b8d75f,Individual Single-Cell RNA-seq PBMC Data from Schulte-Schrepping et al.,blood,COVID-19;normal,blood,Homo sapiens
Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,9a281de7-cee5-4e80-8584-1929f46f152f,Iris,iris,normal,eye,Homo sapiens
Single-cell roadmap of human gonadal development,a13bda79-9134-46c9-9ed1-a2858be9aafe,Mouse Male,gonad,normal,reproductive system,Mus musculus
Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans,94c41723-b2c4-4b59-a49a-64c9b851903e,snRNA-seq of human anterior and posterior hippocampus,hippocampal formation,epilepsy,brain,Homo sapiens
Human Brain Cell Atlas v1.0,52ea546e-9229-40ef-b048-a2e694dd73e8,"Dissection: Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",cerebral cortex,normal,brain,Homo sapiens
"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",b07fb54c-d7ad-4995-8bb0-8f3d8611cabe,Esophagus Epithelium,epithelium of esophagus,normal,esophagus,Homo sapiens
"LungMAP — The genomic, epigenomic and biophysical cues controlling the emergence of the gas exchange niche in the lung.",047d57f2-4d14-45de-aa98-336c6f583750,Developmental single-cell atlas of the murine lung,lung,normal,lung,Mus musculus
Single cell RNA sequencing of follicular lymphoma,99950e99-2758-41d2-b2c9-643edcdf6d82,Single cell RNA sequencing of follicular lymphoma,lymph node,normal;follicular lymphoma,lymph node,Homo sapiens
"HTAN-CHOP - Single-cell multiomics reveals increased plasticity, resistant populations, and stem-cell–like blasts in KMT2A-rearranged leukemia",cf83c98a-3791-4537-bbde-a719f6d73c13,Global dataset of infant KMT2Ar B-ALL,blood,B-cell acute lymphoblastic leukemia,blood,Homo sapiens
Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses,3c75a463-6a87-4132-83a8-c3002624394d,Activated PBMCs - Expanded cohort CITE-seq,blood,normal;common variable immunodeficiency,blood,Homo sapiens
A spatially resolved single cell genomic atlas of the adult human breast,7f08cbcc-5790-4576-8478-10e9a999b316,snRNA-seq data - all cells,breast,normal,breast,Homo sapiens
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,a37f857c-779f-464e-9310-3db43a1811e7,TI immune,lamina propria of small intestine;epithelium of small intestine;small intestine;ileal epithelium;ileum,Crohn disease;normal,small intestine,Homo sapiens
A cell atlas of human thymic development defines T cell repertoire formation,0a21f80c-e7a3-465b-8aba-fdda2b4c36bc,Human T cells - A cell atlas of human thymic development defines T cell repertoire formation,thymus,normal,endocrine gland,Homo sapiens
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,blood,COVID-19;normal,blood,Homo sapiens
Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,96baf2e0-60c5-48cf-b1d1-cba657851507,snRNA-seq of human visceral adipose tissue - all cells,visceral fat,normal,adipose tissue,Homo sapiens
Tabula Sapiens,983d5ec9-40e8-4512-9e65-a572a9c486cb,Tabula Sapiens - Blood,blood,normal,blood,Homo sapiens
Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes,11ff73e8-d3e4-4445-9309-477a2c5be6f6,Single-Cell Transcriptome Profiling of Immature Human Thymocytes,thymus,normal,endocrine gland,Homo sapiens
Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,773b9b2e-70c8-40be-8cbb-e7b5abab360d,UMAP of Columnar cells,rectum;ileum;body of stomach;esophagogastric junction;cardia of stomach;duodenum;lower esophagus;colon,normal;gastric intestinal metaplasia;gastritis;Barrett esophagus,large intestine;small intestine;stomach;esophagogastric junction;esophagus;colon,Homo sapiens
Single-cell reconstruction of the early maternal–fetal interface in humans,5bc42b88-bb76-4954-927b-8bb7369adc64,Pregnant Uterus (All),decidua;blood;placenta,normal,placenta;blood,Homo sapiens
Spatiotemporal analysis of human intestinal development at single-cell resolution,9d5df009-eb76-43a3-b6cd-22017cc53700,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells,colon;ileum;hindgut,normal,colon;small intestine;digestive system,Homo sapiens
A single-cell and spatially resolved atlas of human breast cancers,9fddb063-056d-4202-8b8a-4b0ee531d3ce,A single-cell and spatially-resolved atlas of human breast cancers,breast,invasive ductal breast carcinoma;breast carcinoma;invasive lobular breast carcinoma,breast,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,31f657dc-1875-4c4b-a5ca-ce63b3ef3a82,Pancreas,islet of Langerhans;pancreas,normal,pancreas,Homo sapiens
Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma,ec6ceff8-c8bc-488d-b6bf-30df2fa92169,Modeling Hepatoblastoma: Identification of Distinct Tumor Cell Populations and Key Genetic Mechanisms through Single Cell Sequencing,liver,normal;blastoma,liver,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",e7e0bfff-9355-42ee-95b0-9ec3b1fdab9c,Major cell cluster: Lung and airway,embryo,normal,embryo,Mus musculus
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",842dd04e-5907-4da0-84af-90279bbf0902,Major cell cluster: Eye and other,embryo,normal,embryo,Mus musculus
Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor,99e317c0-1fab-4f73-b511-859e752fd1c3,Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor.,apical region of left ventricle,normal,heart,Homo sapiens
Charting human development using a multi-endodermal organ atlas and organoid models,9968be68-ab65-4a38-9e1a-c9b6abece194,Developing Human Atlas,duodenum;lung;epithelium of trachea;colon;ileum;liver;esophagus;pyloric antrum;body of stomach;jejunum;small intestine;stomach,normal,small intestine;lung;respiratory system;colon;liver;esophagus;stomach,Homo sapiens
Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,37b21763-7f0f-41ae-9001-60bad6e2841d,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,islet of Langerhans,normal;type 1 diabetes mellitus,pancreas,Homo sapiens
Cellular heterogeneity of human fallopian tubes in normal and hydrosalpinx disease states identified by scRNA-seq,c6413315-7158-46c5-a5fd-7228385694f1,scRNA-seq analysis of healthy human fallopian tubes,fimbria of fallopian tube;ampulla of fallopian tube;isthmus of fallopian tube;fallopian tube,normal,fallopian tube,Homo sapiens
Anomalous Epithelial Variations and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease,8fbed309-d3d4-441b-b3ff-e2dcbcec2d35,Anomalous Epithelial Variations and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease,lung parenchyma,normal;chronic obstructive pulmonary disease,lung,Homo sapiens
Cellular development and evolution of the mammalian cerebellum,bab7432a-5cfe-45ea-928c-422d03c45cdd,snRNA-seq data for human cerebella from 9-12 developmental stages,cerebellum;cerebellar cortex;cerebellum vermis lobule;hemisphere part of cerebellar posterior lobe;dentate nucleus,normal;congenital heart disease;acute myocardial infarction;heart failure,brain,Homo sapiens
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,17e9d436-a264-4c94-a42d-48c8daf6fdd9,10X_5-rep1,blood,normal,blood,Homo sapiens
Single-cell roadmap of human gonadal development,be46dfdc-0f99-4731-8957-64ca37364985,Mouse Somatic Cell Lineage,gonad;mesonephros,normal,reproductive system;kidney,Mus musculus
Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs,c893ddc3-f25b-45e2-8c9e-155918b4261c,Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs,caudate nucleus;putamen,normal;opiate dependence,brain,Homo sapiens
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,a82c43bb-a703-446d-aa24-049bf013121f,10X_5-rep2,blood,normal,blood,Homo sapiens
A molecular cell atlas of COVID-19 initiation in human lung,2ac76f1b-43ef-4271-8686-2f165570989f,All annotated cells from infection 1,upper lobe of left lung,COVID-19,lung,Homo sapiens
Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,b46237d1-19c6-4af2-9335-9854634bad16,Fetal Human Gut (6-11 PCW),duodeno-jejunal junction;ileum;colon,normal,small intestine;colon,Homo sapiens
Tabula Sapiens,18eb630b-a754-4111-8cd4-c24ec80aa5ec,Tabula Sapiens - Lymph_Node,inguinal lymph node,normal,lymph node,Homo sapiens
Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,2a262b59-7936-4ecd-b656-248247a0559f,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Mouse Cells,prostate gland;urethra,normal,prostate gland;urethra,Mus musculus
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,ec062e17-ed4b-41a5-b13a-4712b6de5543,Lymph_node,bronchopulmonary lymph node;thoracic lymph node;mesenteric lymph node;lymph node,normal,lymph node,Homo sapiens
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,fe4b89d5-461e-440c-a5a8-621b37b122c0,TI epithelial,lamina propria of small intestine;epithelium of small intestine;small intestine;ileal epithelium;ileum,Crohn disease;normal,small intestine,Homo sapiens
Early human lung immune cell development and its role in epithelial cell fate,fcadb222-82e2-43eb-a3ab-6af0a22051fe,Leukocytes of the fetal lung,lung,normal,lung,Homo sapiens
Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,e6dad530-418b-47f9-af6e-472e56a7b314,All cell types of human eye,retina,normal,eye,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,3dc61ca1-ce40-46b6-8337-f27260fd9a03,All cells,lung,normal,lung,Homo sapiens
Tabula Sapiens,0d2ee4ac-05ee-40b2-afb6-ebb584caa867,Tabula Sapiens - Lung,lung,normal,lung,Homo sapiens
Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19,30cd5311-6c09-46c9-94f1-71fe4b91813c,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,blood,COVID-19;normal,blood,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,5346f9c6-755e-4336-94cc-38706ec00c2f,Supercluster: Non-neuronal cells,primary visual cortex;primary auditory cortex;angular gyrus;primary motor cortex;primary somatosensory cortex;anterior cingulate cortex;middle temporal gyrus;dorsolateral prefrontal cortex,normal,brain,Homo sapiens
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,02792605-4760-4023-82ad-40fc4458a5db,All cells types from scRNA-seq of human primary sclerosing cholangitis patients and healthy controls,caudate lobe of liver,primary sclerosing cholangitis;primary biliary cholangitis;normal,liver,Homo sapiens
Developmental cell programs are co-opted in inflammatory skin disease,f0f0d7c4-3bec-428e-9539-c99d36548d96,Human healthy adult skin scRNA-seq data,skin epidermis;dermis,normal,skin of body,Homo sapiens
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,9c1b5626-58df-4401-ae7b-f66d068c1551,10X_3-rep2,blood,normal,blood,Homo sapiens
Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,e84f2780-51e8-4cfa-8aa0-13bbfef677c7,All cells from human liver dataset,liver,normal,liver,Homo sapiens
Cells of the adult human heart,572f3f3e-d3e4-4d13-8e2b-88215e508481,Vascular — Cells of the adult human heart,apex of heart;heart left ventricle;heart right ventricle;left cardiac atrium;interventricular septum;right cardiac atrium,normal,heart,Homo sapiens
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,59632ec0-6f10-48c6-af79-81024e84843e,BD-rep2,blood,normal,blood,Homo sapiens
Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,e7c5ba7e-4be0-4696-af50-a07d0dc7aac5,BCC and Normal - scRNA-seq data,skin of abdomen;skin of cheek;arm skin;skin of external ear;skin of forehead;nose skin;skin of temple,normal;basal cell carcinoma,skin of body,Homo sapiens
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,c54c9659-1b6b-4d4a-96f0-7dc987410f2d,10X_3-rep1,blood,normal,blood,Homo sapiens
Comprehensive cell atlas of the first-trimester developing human brain,e47a4c13-22ba-4c77-99bc-13f7d60af799,Cerebellum,cerebellum,normal,brain,Homo sapiens
Humoral immunity at the brain borders in homeostasis,58b01044-c5e5-4b0f-8a2d-6ebf951e01ff,A scRNA-seq atlas of immune cells at the CNS borders,dura mater;coronal suture;meningeal dura mater;brain;brain meninx;subdural space;bone marrow,normal,central nervous system;skeletal system;brain;bone marrow,Mus musculus
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,c0fb0d06-225b-4611-b802-d2f34b438a29,BD-rep1,blood,normal,blood,Homo sapiens
COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,242c6e7f-9016-4048-af70-d631f5eea188,"Circulating Immune cells -- CV19 infection, vaccination and HC",blood,normal;COVID-19,blood,Homo sapiens
Ischemia Reperfusion Responses in Human Lung Transplants at the Single Cell Resolution,429d21fd-bb9a-4abf-922b-c15138524bdd,scRNA-seq of lung biopsies from six human lung transplant cases,lower lobe of right lung;middle lobe of right lung;lingula of left lung;upper lobe of left lung;upper lobe of right lung,normal,lung,Homo sapiens
HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,d6dfdef1-406d-4efb-808c-3c5eddbfe0cb,Validation (Val) set of human colorectal tumor: Epithelial,ascending colon;sigmoid colon;transverse colon;descending colon;hepatic cecum;hepatic flexure of colon;rectum,colon sessile serrated adenoma/polyp;normal;colorectal cancer;hyperplastic polyp;tubular adenoma;tubulovillous adenoma,colon;intestine;large intestine,Homo sapiens
Single Cell Atlas of Mouse Healthy Gingiva,e04cb7d9-7487-4bf7-99db-b16f236a351a,Healthy gingiva of adult mouse,gingiva,normal,mucosa,Mus musculus
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,3f6ab2aa-6c63-4753-b652-3a9b9e7c8ee5,Scale-rep1,blood,normal,blood,Homo sapiens
Cellular heterogeneity of human fallopian tubes in normal and hydrosalpinx disease states identified by scRNA-seq,b693123e-95e6-4331-8b50-f367489a767e,scRNA-seq analysis of human fallopian tubes in healthy Vs. hydrosalphinx states,fimbria of fallopian tube;ampulla of fallopian tube;isthmus of fallopian tube;fallopian tube,normal;hydrosalpinx,fallopian tube,Homo sapiens
Comprehensive cell atlas of the first-trimester developing human brain,6c105286-54e3-4587-969f-30683390ff8c,Diencephalon,hypothalamus;diencephalon;dorsal plus ventral thalamus,normal,brain,Homo sapiens
A human embryonic limb cell atlas resolved in space and time,f9685456-c8a8-43ad-a326-476273ef36a0,lpm_scRNAseq,hindlimb;forelimb,normal,hindlimb;forelimb,Homo sapiens
Human skeletal muscle ageing atlas,b3c9904b-2ffd-4038-8620-ee1c5b072e9c,Human muscle cells and nuclei,intercostal muscle,normal,musculature,Homo sapiens
Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy,bd65a70f-b274-4133-b9dd-0d1431b6af34,Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy,kidney;blood;lymph node,clear cell renal carcinoma,kidney;blood;lymph node,Homo sapiens
"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f,Occipital cortex samples from C9-FTD and age matched control brains,occipital cortex,normal;frontotemporal dementia,brain,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,15d374d6-0dfd-4d8e-ade7-81f73dc921ee,Skeletal_muscle,"skeletal muscle organ, vertebrate;muscle of pelvic diaphragm;rectus abdominis muscle;muscle of abdomen;muscle tissue",normal,musculature,Homo sapiens
Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro,9ddea8d9-cc4c-420a-90f6-880996f808d4,Non-pregnant Uterus (Endometrium - All),endometrium,normal,uterus,Homo sapiens
Single-cell roadmap of human gonadal development,12967895-3d58-4e93-be2c-4e1bcf4388d5,Mouse Female,gonad;mesonephros,normal,reproductive system;kidney,Mus musculus
Human Brain Cell Atlas v1.0,e1f595f6-ba2c-495e-9bee-7056f116b1e4,Dissection: Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,cerebral cortex,normal,brain,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,4023a2bc-6325-47db-bfdf-9639e91042c2,Organoid,lung,normal,lung,Homo sapiens
Shared and distinct transcriptomic cell types across neocortical areas,28c696bb-9549-434b-9340-dc745a846f9a,Shared and distinct transcriptomic cell types across neocortical areas,primary visual cortex;frontal cortex,normal,brain,Mus musculus
Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,peripheral zone of prostate;transition zone of prostate,normal;benign prostatic hyperplasia,prostate gland,Homo sapiens
Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,e5233a94-9e43-418c-8209-6f1400c31530,UMAP of all data,lower esophagus;esophagogastric junction;cardia of stomach;duodenum;submucosal esophageal gland;body of stomach;ileum;colon;rectum,normal;Barrett esophagus;gastric intestinal metaplasia;gastritis,esophagus;esophagogastric junction;stomach;small intestine;colon;large intestine,Homo sapiens
Single-cell roadmap of human gonadal development,535e9336-2d8d-43c3-944d-bcbebe20df8a,Human Male,gonad,normal,reproductive system,Homo sapiens
